,TagmovieId,title,Unnamed: 0,movieId,genres,givenrating,predrating,rating
1111,1111,8 1/2 (8½) (1963),1111,1251,Drama|Fantasy,0.0,4.215030612676865,4.215030612676865
1756,1756,Seven Samurai (Shichinin no samurai) (1954),1756,2019,Action|Adventure|Drama,0.0,4.200043430900196,4.200043430900196
804,804,Rear Window (1954),804,904,Mystery|Thriller,0.0,4.187982797127206,4.187982797127206
1098,1098,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",1098,1237,Drama,0.0,4.176534393199042,4.176534393199042
1140,1140,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),1140,1280,Drama,0.0,4.165943327057088,4.165943327057088
1079,1079,Ran (1985),1079,1217,Drama|War,0.0,4.152056884388612,4.152056884388612
1067,1067,Lawrence of Arabia (1962),1067,1204,Adventure|Drama|War,0.0,4.139851788112039,4.139851788112039
1057,1057,One Flew Over the Cuckoo's Nest (1975),1057,1193,Drama,0.0,4.129861658518429,4.129861658518429
1074,1074,"Third Man, The (1949)",1074,1212,Film-Noir|Mystery|Thriller,0.0,4.124612692835542,4.124612692835542
803,803,Vertigo (1958),803,903,Drama|Mystery|Romance|Thriller,0.0,4.120768091323071,4.120768091323071
7038,7038,35 Up (1991),7038,26712,Documentary,0.0,4.119662475196789,4.119662475196789
290,290,Three Colors: Red (Trois couleurs: Rouge) (1994),290,306,Drama,0.0,4.113895537000988,4.113895537000988
107,107,Taxi Driver (1976),107,111,Crime|Drama|Thriller,0.0,4.111692372205484,4.111692372205484
822,822,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),822,922,Drama|Film-Noir|Romance,0.0,4.110327064603559,4.110327064603559
1112,1112,Chinatown (1974),1112,1252,Crime|Film-Noir|Mystery|Thriller,0.0,4.1023309603734655,4.1023309603734655
2410,2410,"400 Blows, The (Les quatre cents coups) (1959)",2410,2731,Crime|Drama,0.0,4.10228462606935,4.10228462606935
4657,4657,Rashomon (Rashômon) (1950),4657,5291,Crime|Drama|Mystery,0.0,4.099817426310991,4.099817426310991
3051,3051,Modern Times (1936),3051,3462,Comedy|Drama|Romance,0.0,4.090538496576569,4.090538496576569
6838,6838,"Steamboat Bill, Jr. (1928)",6838,25769,Comedy|Romance,0.0,4.063715298937751,4.063715298937751
1108,1108,Touch of Evil (1958),1108,1248,Crime|Film-Noir|Thriller,0.0,4.05671078292068,4.05671078292068
2690,2690,Yojimbo (1961),2690,3030,Action|Adventure,0.0,4.051121068028889,4.051121068028889
826,826,All About Eve (1950),826,926,Drama,0.0,4.047475319117539,4.047475319117539
